ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;Id;AvgPathLength;HasLoop;AvgCountLoop;CountReqEcCovered;EdgeCoverage;CountReqPcCovered;PrimePathCoverage
org.apache.commons.math4.genetics.ElitisticListPopulation.nextGeneration();1;11;5;7;10;2;0;10;5;5;2;2;2;1;0;0;1;0;org.apache.commons.math4.genetics.ElitisticListPopulationTest.testNextGeneration();0;8;3;5;7;2;0;8;4;4;2;2;2;1;0;0;0;0;org.apache.commons.math4.genetics.ElitisticListPopulationTest.testNextGeneration();48;1;20;9;1;4;0.8;
org.apache.commons.math4.ode.AbstractFieldIntegrator.getEventHandlers();3;7;2;4;5;2;0;6;3;3;2;2;2;1;0;0;1;0;org.apache.commons.math4.ode.nonstiff.AbstractEmbeddedRungeKuttaFieldIntegratorTest.doTestEvents(Field<T>,double,String);4;26;13;21;22;2;0;23;11;12;2;2;2;1;0;0;0;0;org.apache.commons.math4.ode.nonstiff.AbstractEmbeddedRungeKuttaFieldIntegratorTest.doTestEvents(Field<T>,double,String);9;1;2;6;1;4;0.8;
org.apache.commons.math4.stat.regression.AbstractMultipleLinearRegression.estimateRegressionParametersStandardErrors();7;10;5;7;4;2;0;10;6;4;2;2;2;1;0;0;1;0;org.apache.commons.math4.stat.regression.OLSMultipleLinearRegressionTest.testWampler1();0;250;29;241;33;4;0;83;27;56;4;4;4;3;0;0;0;0;org.apache.commons.math4.stat.regression.OLSMultipleLinearRegressionTest.testWampler1();58;1;17;9;1;4;0.8;
org.apache.commons.math4.geometry.euclidean.oned.Cartesian1D.distanceInf(Vector<Euclidean1D>);4;5;3;3;2;1;0;4;3;1;1;1;1;1;0;0;0;0;org.apache.commons.math4.geometry.euclidean.oned.Cartesian1DTest.testDistanceInf();1;7;3;5;5;1;0;6;3;3;1;1;1;1;0;0;0;0;org.apache.commons.math4.geometry.euclidean.oned.Cartesian1DTest.testDistanceInf();5;0;0;4;1;1;1;
org.apache.commons.math4.geometry.euclidean.oned.Cartesian1D.distanceSq(Vector<Euclidean1D>);4;5;3;3;1;1;0;4;3;1;1;1;1;1;0;0;0;0;org.apache.commons.math4.geometry.euclidean.oned.Cartesian1DTest.testDistanceSq();1;8;3;6;4;1;0;6;3;3;1;1;1;1;0;0;0;0;org.apache.commons.math4.geometry.euclidean.oned.Cartesian1DTest.testDistanceSq();5;0;0;4;1;1;1;
org.apache.commons.math4.genetics.Chromosome.getFitness();10;6;1;3;3;2;0;4;1;3;2;2;2;1;0;0;1;0;org.apache.commons.math4.genetics.ChromosomeTest.testFindSameChromosome();0;46;14;32;6;1;0;27;14;13;1;1;1;1;0;0;0;0;org.apache.commons.math4.genetics.ChromosomeTest.testFindSameChromosome();4.5;0;0;5;1;2;1;
org.apache.commons.math4.stat.correlation.Covariance.covariance(double[],double[],boolean);11;22;9;17;4;4;1;17;9;8;5;5;5;1;2;0;2;0;org.apache.commons.math4.stat.correlation.CovarianceTest.testInsufficientData();0;20;6;14;7;5;1;14;6;8;4;4;4;2;2;0;0;0;org.apache.commons.math4.stat.correlation.CovarianceTest.testInsufficientData();35;1;4;16;0.8888888888888888;7;0.7777777777777777;
org.apache.commons.math4.dfp.Dfp.copySign(Dfp);2;6;1;3;2;2;0;4;1;3;2;2;5;1;1;0;1;0;org.apache.commons.math4.ExtendedFieldElementAbstractTest.testCopySignField();0;7;1;3;4;3;0;8;3;5;3;3;3;1;0;0;0;0;org.apache.commons.math4.ExtendedFieldElementAbstractTest.testCopySignField();4;0;0;3;0.6;1;0.5;
org.apache.commons.math4.dfp.Dfp.copySign(double);2;7;2;4;3;2;0;5;2;3;2;2;5;1;1;0;1;0;org.apache.commons.math4.ExtendedFieldElementAbstractTest.testCopySignDouble();0;7;1;3;4;3;0;8;3;5;3;3;3;1;0;0;0;0;org.apache.commons.math4.ExtendedFieldElementAbstractTest.testCopySignDouble();5;0;0;4;0.6666666666666666;1;0.5;
org.apache.commons.math4.dfp.Dfp.intLog10();5;12;1;7;1;4;1;8;1;7;4;4;4;4;3;3;1;3;org.apache.commons.math4.dfp.DfpTest.testLog10();1;19;1;16;3;1;0;17;1;16;1;1;1;1;0;0;0;0;org.apache.commons.math4.dfp.DfpTest.testLog10();5.25;0;0;11;1;4;1;
